tconst	averageRating	numVotes
tt0092922	5.2	1109
tt0093064	5.7	22
tt0093402	6.2	824
tt0093473	6.2	134
tt0093631	4.2	174
tt0093758	3.7	119
tt0093970	8.0	2529
tt0094011	6.7	3841
tt0094036	5.1	441
tt0094156	7.3	91
tt0094248	6.9	261
tt0094280	6.0	307
tt0094312	7.0	11
tt0094364	7.0	1450
tt0094440	7.4	157
tt0094629	4.3	56
tt0094642	5.8	4688
tt0094765	4.6	1838
tt0094846	5.1	4368
tt0094876	5.2	15
tt0094908	4.4	511
tt0095120	4.8	1367
tt0095356	6.2	65
tt0095368	5.7	3678
tt0095467	8.1	26536
tt0095665	5.9	1633
tt0095691	7.1	12
tt0095802	4.4	257
tt0095919	6.3	44
tt0096181	5.7	201
tt0096400	6.5	236
tt0096557	7.6	21885
tt0096642	7.8	1642
tt0096648	7.3	177
tt0096679	8.0	1126
tt0096689	6.9	61
tt0096900	5.9	15
tt0096961	6.6	397
tt0097073	4.2	143
tt0097230	4.1	715
tt0097239	7.3	118833
tt0097482	5.0	470
tt0097603	7.8	110
tt0097790	6.1	8932
tt0097791	8.3	438
tt0097836	6.1	196
tt0097990	6.8	468
tt0098024	4.3	19
tt0098078	5.7	481
tt0098184	5.9	1922
tt0098188	5.4	4008
tt0098257	4.4	1884
tt0098322	6.9	733
tt0098558	4.7	170
tt0098635	7.7	246910
tt0098771	7.7	59
tt0099017	4.5	158
tt0099056	4.4	45
tt0099078	5.9	22
tt0099110	6.6	64
tt0099231	6.2	86
tt0099526	6.3	269
tt0099669	7.6	7163
tt0099905	5.6	48
tt0100166	5.0	8
tt0100175	4.9	225
tt0100216	7.9	2382
tt0100382	6.9	28
tt0100392	6.3	48
tt0100421	6.3	237
tt0100550	4.0	413
tt0100867	4.3	604
tt0101083	6.3	56
tt0101226	7.6	1980
tt0101264	2.9	2449
tt0101433	6.8	117
tt0101558	8.5	29
tt0101560	5.1	1029
tt0101687	5.8	108
tt0101855	7.2	15
tt0101969	6.8	16878
tt0102015	8.1	23803
tt0102032	6.6	2226
tt0102160	3.1	47
tt0102383	6.3	1235
tt0102578	7.2	1063
tt0102614	6.1	26188
tt0102658	7.0	466
tt0102830	5.0	314
tt0102938	5.1	289
tt0102955	8.1	35
tt0103079	6.5	36
tt0103343	6.8	192
tt0103575	5.8	217
tt0103691	6.0	72
tt0103930	7.4	6
tt0104270	6.9	240
tt0104299	5.4	17752
tt0104421	6.6	231
tt0104755	5.9	208
tt0105168	5.5	58
tt0105278	3.8	86
tt0105369	3.6	125
tt0105371	4.6	458
tt0105374	4.3	30
tt0105504	7.0	66
tt0105708	6.1	11
tt0105981	8.2	159
tt0106069	7.5	228
tt0106113	4.0	708
tt0106486	5.8	430
tt0106640	5.2	63
tt0106759	3.4	148
tt0106793	5.4	346
tt0106852	4.7	442
tt0106968	6.2	145
tt0106998	5.0	17
tt0107175	6.1	1554
tt0107329	8.0	31
tt0107368	5.4	270
tt0107382	7.8	822
tt0107405	5.1	200
tt0107666	5.5	539
tt0107705	8.6	19
tt0107917	5.2	586
tt0107982	4.8	666
tt0108323	7.3	995
tt0108326	5.8	44
tt0108509	6.9	446
tt0108692	8.2	158
tt0109031	5.0	51
tt0109054	7.8	10
tt0109100	3.9	112
tt0109311	6.7	30
tt0109350	6.8	240
tt0109356	6.2	285
tt0109376	2.6	4563
tt0109457	6.8	21
tt0109527	6.9	82
tt0109607	5.9	948
tt0109694	4.2	71
tt0109785	6.3	501
tt0109822	6.5	1104
tt0109854	3.5	350
tt0109938	9.0	33
tt0109986	4.7	312
tt0110078	6.0	10
tt0110185	6.6	94
tt0110292	4.9	14
tt0110369	5.0	12
tt0110609	4.8	10
tt0110808	6.2	1116
tt0110821	6.7	36
tt0110867	5.6	826
tt0111180	5.5	312
tt0111549	5.7	2736
tt0111925	7.4	548
tt0112096	8.1	168
tt0112154	7.7	299
tt0112256	7.8	149
tt0112288	6.4	11786
tt0112618	3.7	149
tt0113021	5.8	287
tt0113022	5.5	272
tt0113154	6.3	23
tt0113364	5.9	206
tt0113394	5.4	1549
tt0113415	7.9	69
tt0113444	6.0	188
tt0113719	4.4	532
tt0113749	7.0	130005
tt0114057	6.8	10256
tt0114079	4.5	235
tt0114126	6.3	10158
tt0114555	5.1	103
tt0114955	5.3	88
tt0115000	5.0	8
tt0115085	7.5	433
tt0115186	7.0	28
tt0115293	7.9	138
tt0115505	6.4	934
tt0115808	5.6	43
tt0115866	5.5	47
tt0115966	6.3	32
tt0116264	5.9	552
tt0116733	5.5	448
tt0116753	8.0	52
tt0116945	6.6	70
tt0117018	9.1	23
tt0117261	7.3	302
tt0117370	7.6	87
tt0117398	7.7	8597
tt0117571	7.4	397004
tt0117625	5.5	203
tt0117706	3.7	444
tt0117822	8.0	54
tt0118005	5.0	19
tt0118227	4.3	15
tt0118536	6.5	155
tt0118582	6.5	795
tt0119112	4.5	186
tt0119555	5.3	917
tt0119639	3.3	757
tt0119694	6.6	164
tt0119960	4.8	301
tt0120004	5.8	30615
tt0120161	6.1	205
tt0120168	6.6	31
tt0120529	7.1	141
tt0120674	6.4	334
tt0120798	5.5	122
tt0121014	6.3	16
tt0121386	3.8	23
tt0121586	6.0	6
tt0121709	5.2	10
tt0121756	6.1	25
tt0121762	6.1	17
tt0122033	3.6	40
tt0122364	4.0	295
tt0122418	6.4	186
tt0122510	7.0	12
tt0122545	3.8	54
tt0122614	4.9	18
tt0122938	6.0	179
tt0123138	5.5	67
tt0123257	6.3	53
tt0123644	6.6	33
tt0123707	6.3	239
tt0123742	7.1	15
tt0123884	6.3	18
tt0124043	6.1	25
tt0124109	8.5	23
tt0124560	6.6	32
tt0124738	5.7	139
tt0124803	6.2	11
tt0124820	6.7	54
tt0124933	5.4	39
tt0125014	6.9	14
tt0125126	6.9	136
tt0125630	7.6	18
tt0125660	5.8	34
tt0125696	7.9	29
tt0125845	5.8	53
tt0125879	6.2	4247
tt0126067	6.7	106
tt0126175	4.2	316
tt0126336	4.2	89
tt0126470	5.6	105
tt0127851	4.4	188
tt0127998	8.0	380
tt0128030	3.6	14
tt0128546	7.8	17
tt0128896	8.3	66
tt0128904	3.3	23
tt0129096	5.2	11
tt0129280	5.5	15151
tt0129543	4.8	28
tt0129710	6.5	1653
tt0129717	7.1	126
tt0129923	6.6	1472
tt0129993	7.4	10
tt0130022	7.6	249
tt0130223	7.4	110
tt0130304	6.3	59
tt0130430	6.7	129
tt0130928	5.0	235
tt0131027	5.9	39
tt0131246	5.3	36
tt0131325	6.5	74934
tt0131539	6.8	7
tt0131675	5.4	640
tt0131979	4.1	198
tt0132014	6.3	232
tt0132265	4.7	50
tt0132544	7.0	13
tt0132805	7.5	16
tt0133016	7.2	163
tt0133447	8.1	16
tt0133521	5.8	14
tt0133530	6.4	10
tt0133966	3.8	95
tt0134301	6.7	38
tt0134499	6.4	115
tt0134677	6.9	112
tt0134770	7.0	218
tt0134905	6.5	19
tt0134988	6.0	487
tt0135008	5.9	74
tt0135043	7.2	298
tt0135093	7.5	115
tt0135096	9.0	2112
tt0135115	7.7	62
tt0135699	5.2	14
tt0136059	4.0	18
tt0136270	3.8	15
tt0136455	8.5	41
tt0136650	8.6	1696
tt0137098	6.7	64
tt0137933	6.0	7
tt0138031	6.5	24
tt0138074	1.3	1669
tt0138769	5.1	38
tt0138994	7.4	33
tt0139004	6.9	26
tt0139129	5.4	16
tt0139184	7.2	22
tt0140067	3.7	328
tt0140542	7.7	691
tt0140910	4.8	23
tt0141021	5.1	50
tt0141058	5.8	53
tt0141180	3.3	11
tt0141428	6.4	8
tt0141683	5.0	33
tt0141802	6.3	29
tt0142055	3.9	8933
tt0142151	5.0	9
tt0142274	4.4	193
tt0142437	6.0	135
tt0142781	4.3	11
tt0142898	7.3	24
tt0142905	4.7	13
tt0143219	4.7	22
tt0143264	6.6	20
tt0143543	4.5	12
tt0143841	5.8	13
tt0143958	4.8	67
tt0144059	7.1	453
tt0144156	3.7	214
tt0144172	8.8	46
tt0144592	5.9	13
tt0144710	6.0	81
tt0144758	8.0	37
tt0145730	8.0	107
tt0145814	5.4	280
tt0145967	3.3	14
tt0146082	6.0	292
tt0146261	8.0	25
tt0146731	4.0	34
tt0146990	6.4	1802
tt0147004	7.0	17287
tt0147021	5.2	24
tt0147068	7.0	12
tt0147489	6.8	12
tt0147628	6.6	58
tt0147856	6.2	665
tt0147936	7.2	38
tt0148415	4.1	73
tt0148647	6.2	92
tt0148905	4.7	21
tt0149324	3.9	22
tt0149429	6.8	60
tt0149438	8.3	418
tt0149521	7.7	34
tt0149616	5.9	17
tt0149870	4.5	21
tt0149883	7.7	44
tt0149991	4.7	16
tt0150179	2.9	190
tt0150489	3.6	56
tt0150539	5.0	51
tt0150556	6.4	37
tt0150605	4.5	14
tt0150824	5.4	10
tt0150923	7.6	147
tt0150936	6.7	7
tt0150942	5.8	22
tt0150961	6.8	97
tt0151059	5.9	34
tt0151168	8.4	49
tt0151650	7.8	16
tt0151672	5.4	62
tt0152077	6.9	105
tt0152139	6.5	1162
tt0152288	7.2	17
tt0152483	6.7	138
tt0152533	5.1	13
tt0152752	7.0	11
tt0152773	4.1	20
tt0152878	6.4	16
tt0153219	5.6	366
tt0153224	5.8	96
tt0153414	6.7	372
tt0153434	5.0	101
tt0153456	5.0	102
tt0153604	5.8	108
tt0154008	4.3	12
tt0154009	5.6	20
tt0154038	6.5	28
tt0154298	5.6	54
tt0154879	8.3	15
tt0155185	6.4	8
tt0155265	8.5	3812
tt0155287	6.1	369
tt0155309	3.7	18
tt0155660	7.8	21
tt0155809	7.3	280
tt0155916	7.5	14
tt0155976	6.6	27
tt0156333	6.2	11
tt0156403	7.2	82
tt0156960	5.1	29
tt0157261	5.6	118
tt0157905	6.3	22
tt0158598	5.2	21
tt0158602	6.1	32
tt0159067	6.6	16
tt0159805	5.0	34
tt0159910	8.3	175
tt0160003	7.0	106
tt0160018	6.2	108
tt0160130	8.4	14
tt0160298	5.3	1437
tt0160419	6.8	13
tt0160506	7.2	25
tt0160799	6.1	31
tt0161172	7.8	11
tt0161529	5.8	123
tt0161701	5.9	19
tt0161759	5.8	104
tt0161785	5.1	20
tt0162234	6.0	14
tt0162360	6.3	10361
tt0162791	7.6	47
tt0162822	7.8	86
tt0162969	5.7	12
tt0163010	7.7	31
tt0163106	8.0	98
tt0163117	4.9	57
tt0163184	6.7	26
tt0163315	4.5	268
tt0163330	7.2	20
tt0163371	5.3	15
tt0163475	7.9	60
tt0163506	7.3	59
tt0163618	5.4	24
tt0163624	7.4	694
tt0163754	7.2	48
tt0163798	5.3	280
tt0163803	5.0	10
tt0163810	3.1	60
tt0163974	5.8	65
tt0164124	6.1	66
tt0164306	7.6	20
tt0164322	4.4	15
tt0164550	5.6	8691
tt0164553	6.6	6
tt0164859	3.7	53
tt0165179	7.4	259
tt0165926	6.8	82
tt0166671	7.0	9
tt0166676	6.8	7
tt0166722	7.7	173
tt0166833	6.9	143
tt0166992	3.7	419
tt0167002	5.7	20
tt0167379	2.8	200
tt0167773	5.4	186
tt0167906	5.3	131
